Lambda_1,Lambda_2,Lambda_3,Lambda_4,Lambda_5,Lambda_6
0.002471923828125,0.0265960693359375,0.2314453125,0.7685546875,0.9736328125,0.99755859375
-inf,-inf,0.2265625,0.7646484375,0.9697265625,0.99365234375
-inf,-inf,0.2216796875,0.7607421875,0.9658203125,0.98974609375
-inf,-inf,0.217041015625,0.7568359375,0.9619140625,0.98583984375
-inf,-inf,0.212646484375,0.7529296875,0.9580078125,0.98193359375
-inf,-inf,0.208251953125,0.7490234375,0.9541015625,0.97802734375
-inf,-inf,0.203857421875,0.7451171875,0.9501953125,0.97412109375
-inf,-inf,0.199462890625,0.7412109375,0.9462890625,0.97021484375
-inf,-inf,0.195068359375,0.7373046875,0.9423828125,0.96630859375
nan,nan,0.191162109375,0.7333984375,0.9384765625,0.96240234375
nan,nan,0.187255859375,0.7294921875,0.9345703125,0.95849609375
